region,lag,days_to_predict,train_last_date,avg_mae,avg_mse,mae_tot_pos,mse_tot_pos,mae_deaths,mse_deaths,mae_recovered,mse_recovered
Lombardia,12,24,20200630,29.185430463576157,10231.05298013245,35.079470198675494,11381.569536423842,4.178807947019868,128.09933774834437,48.29801324503311,19183.490066225164
Lombardia,12,25,20200630,29.682017543859654,10346.910087719298,36.74342105263158,11852.375,4.309210526315789,131.04605263157896,47.99342105263158,19057.309210526317
Lombardia,12,26,20200630,30.70152505446623,10709.721132897605,39.3202614379085,12989.032679738562,4.405228758169935,132.54901960784315,48.37908496732026,19007.581699346407
Lombardia,12,27,20200630,32.15584415584416,11388.073593073592,42.66233766233766,14897.64935064935,4.467532467532467,132.96103896103895,49.33766233766234,19133.61038961039
Lombardia,12,28,20200630,33.93333333333333,12345.116129032258,46.47096774193548,17386.62580645161,4.503225806451613,132.7483870967742,50.825806451612905,19515.974193548387
Lombardia,12,29,20200630,35.97649572649573,13591.549145299146,50.717948717948715,20497.48717948718,4.512820512820513,132.12820512820514,52.69871794871795,20145.03205128205
Lombardia,12,30,20200630,37.99150743099788,14834.106157112526,54.93630573248408,23604.94904458599,4.490445859872612,131.29299363057325,54.547770700636946,20766.07643312102
Lombardia,13,5,20200630,9.234848484848484,3497.098484848485,13.174242424242426,5015.840909090909,0.5303030303030303,12.045454545454545,14.0,5463.409090909091
Lombardia,13,6,20200630,9.6265664160401,3511.601503759399,13.308270676691727,4985.353383458647,0.7819548872180451,20.64661654135339,14.789473684210524,5528.804511278196
Lombardia,13,7,20200630,10.597014925373132,3694.92039800995,15.134328358208954,5444.895522388059,1.0149253731343284,28.13432835820895,15.64179104477612,5611.731343283582
Lombardia,13,8,20200630,10.879012345679014,3687.0222222222224,15.54074074074074,5440.85925925926,1.3407407407407408,42.925925925925924,15.755555555555556,5577.281481481482
Lombardia,13,9,20200630,13.004901960784313,4558.563725490196,18.110294117647054,6380.448529411765,1.7352941176470589,64.85294117647061,19.169117647058822,7230.389705882353
Lombardia,13,10,20200630,14.997566909975667,5344.7834549878335,20.299270072992698,7072.007299270073,2.145985401459854,88.93430656934306,22.547445255474447,8873.408759124088
Lombardia,13,11,20200630,16.193236714975846,5653.768115942029,21.05072463768116,7132.181159420291,2.5869565217391304,117.05072463768116,24.94202898550725,9712.072463768116
Lombardia,13,12,20200630,17.026378896882495,5826.7961630695445,21.194244604316548,7092.964028776977,3.0503597122302164,148.50359712230215,26.834532374100718,10238.920863309351
Lombardia,13,13,20200630,18.169047619047614,6128.059523809524,21.75,7112.307142857144,3.55,185.50714285714287,29.207142857142852,11086.364285714288
Lombardia,13,14,20200630,18.933806146572106,6232.092198581561,22.099290780141846,7097.617021276596,4.1063829787234045,231.87943262411343,30.59574468085107,11366.780141843972
Lombardia,13,15,20200630,19.657276995305164,6311.384976525821,23.316901408450704,7315.415492957746,4.676056338028169,281.1267605633803,30.97887323943662,11337.612676056338
Lombardia,13,16,20200630,20.655011655011656,6564.491841491842,23.545454545454547,7286.188811188811,5.2727272727272725,335.8041958041958,33.14685314685315,12071.482517482518
Lombardia,13,17,20200630,21.472222222222218,6680.564814814815,23.979166666666668,7286.951388888889,5.930555555555555,402.9166666666667,34.50694444444444,12351.826388888889
Lombardia,13,18,20200630,22.305747126436785,6779.767816091954,24.882758620689657,7402.386206896552,6.6,473.3034482758621,35.43448275862069,12463.613793103448
Lombardia,13,19,20200630,23.219178082191785,6914.785388127853,25.616438356164384,7471.027397260274,7.328767123287672,557.5205479452055,36.71232876712329,12715.808219178081
Lombardia,13,20,20200630,24.117913832199548,7084.702947845805,27.333333333333332,7945.9455782312925,8.047619047619047,640.5918367346939,36.97278911564626,12667.57142857143
